generation,rank,fitness,f1,latency,params,depth,genotype,gen_time_min
0,0,0.5609290126809858,0.8076991710866187,0.011681559085845948,47019620,6,"[0, 1, 0, 0, 1, 0]",
0,1,0.5540769004370586,0.7953911074492775,0.007763093948364258,42531652,4,"[1, 0, 0, 0]",
0,2,0.5466508806251513,0.7901783329676708,0.008002873420715331,42531652,4,"[1, 0, 0, 0]",
0,3,0.5318599743299479,0.78128574971656,0.009204098224639893,43609188,5,"[0, 1, 0, 0, 1]",
0,4,0.4992722298785971,0.7550596811772339,0.007817463874816894,42531652,4,"[0, 0, 1, 1]",
0,5,0.48950569010515177,0.7682995354936316,0.01905448055267334,55995556,10,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",
0,6,0.47715765542262895,0.7586740363738919,0.01928843593597412,55995556,10,"[1, 1, 0, 1, 1, 0, 1, 0, 1, 0]",
0,7,0.4721115422040187,0.7342133809684631,0.007776882171630859,42531652,4,"[1, 1, 1, 0]",
0,8,0.46554422850430405,0.7560568397120121,0.022722464561462402,60483524,12,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",
0,9,0.46088217496072426,0.745535301510538,0.01912397575378418,55995556,10,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",
0,10,0.453259763116578,0.7602180666899901,0.031174062728881836,69459460,16,"[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",
0,11,0.4517325615528911,0.7586926718019613,0.030724652767181396,69459460,16,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]",
0,12,0.45162103212717913,0.7332178281998705,0.016830637931823732,52585124,9,"[0, 1, 0, 0, 0, 0, 0, 1, 0]",
0,13,0.43667811091698167,0.7408444230261465,0.027942720890045167,66049028,15,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1]",
0,14,0.42478781528026915,0.7357860906403197,0.030854748725891112,69459460,18,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]",
0,15,0.4190089664792656,0.7241643262238893,0.0271293683052063,64971492,14,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]",
0,16,0.4162634879401442,0.7234403106039661,0.028175596237182618,66049028,15,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0]",
0,17,0.39545594915083865,0.709825837888346,0.030652301788330078,69459460,16,"[1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",
0,18,0.3915952188665469,0.7062419860278644,0.03043340301513672,69459460,20,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",
0,19,0.2971395136528723,0.615458158285805,0.031024893283843995,69459460,16,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1]",
0,0,0.5686401099932503,0.7785206305804513,0.011878028869628906,47019620,6,"[0, 1, 0, 0, 1, 1]",29.524531535307567
0,1,0.5633998167554157,0.7927126162393656,0.007958499431610108,42531652,4,"[0, 0, 1, 0]",29.524531535307567
0,2,0.5609290126809858,0.8061103902779636,0.011779873371124268,47019620,6,"[0, 1, 0, 0, 1, 0]",29.524531535307567
0,3,0.5583515997905463,0.7974594731819372,0.007803083419799805,42531652,4,"[1, 0, 0, 0]",29.524531535307567
0,4,0.547348326917876,0.7850701420801488,0.007751177310943604,42531652,4,"[0, 0, 1, 0]",29.524531535307567
0,5,0.5374375674703334,0.7828254906822495,0.007848045825958251,42531652,4,"[0, 0, 1, 0]",29.524531535307567
0,6,0.5342321818558976,0.7900047239743256,0.009288815021514893,43609188,5,"[0, 0, 0, 0, 1]",29.524531535307567
0,7,0.5276502927771385,0.7790507103048284,0.011789185047149658,47019620,6,"[0, 0, 0, 0, 1, 0]",29.524531535307567
0,8,0.5273700791955905,0.8008993122979059,0.009287903785705567,43609188,5,"[1, 1, 0, 0, 1]",29.524531535307567
0,9,0.5263754405634979,0.7772014140660232,0.007796426773071289,42531652,4,"[1, 1, 0, 0]",29.524531535307567
0,10,0.5231194506252723,0.7723254908288636,0.007942532539367676,42531652,4,"[1, 1, 0, 0]",29.524531535307567
0,11,0.5227428585332928,0.7926791963832195,0.019553972244262696,55995556,10,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",29.524531535307567
0,12,0.5164491548790606,0.790844861057242,0.008008570194244384,42531652,4,"[1, 1, 1, 0]",29.524531535307567
0,13,0.5158788075396707,0.7791823167551959,0.007871543407440186,42531652,4,"[0, 0, 0, 1]",29.524531535307567
0,14,0.5120285778714736,0.7362237738458205,0.009234980583190918,43609188,5,"[0, 1, 0, 0, 1]",29.524531535307567
0,15,0.5064270293866534,0.6645931013935201,0.02346461868286133,60483524,12,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0]",29.524531535307567
0,16,0.5038422016631189,0.7922975119146809,0.011828429222106933,47019620,6,"[0, 1, 0, 0, 1, 0]",29.524531535307567
0,17,0.4975045474395349,0.7328221840375503,0.017041209697723388,52585124,9,"[1, 1, 0, 0, 0, 0, 0, 1, 0]",29.524531535307567
