generation,rank,fitness,f1,latency,params,depth,genotype
0,0,0.1738997499475116,0.5449195831238427,0.10213304853439331,69459460,4,"[0, 0, 1, 1]"
0,1,0.17364791328373638,0.5466382749231048,0.10449472284317017,69459460,4,"[1, 1, 1, 1]"
0,2,0.17054511305478887,0.5563527368671217,0.12073041248321534,69459460,5,"[1, 0, 0, 1, 1]"
0,3,0.16867328408790988,0.5424164590269854,0.10862821912765502,69459460,4,"[0, 0, 0, 1]"
0,4,0.15718854237826985,0.579901387046123,0.17086531829833984,69459460,7,"[1, 1, 0, 0, 1, 0, 1]"
0,5,0.15104885725340214,0.5117178876678877,0.10675013875961303,69459460,4,"[1, 0, 0, 0]"
0,6,0.1469199518848755,0.5191648575117427,0.12400737047195434,69459460,5,"[1, 1, 1, 1, 1]"
0,7,0.14295322577431974,0.4983189273070341,0.10736575269699097,69459460,4,"[0, 0, 0, 0]"
0,8,0.14229755797993437,0.5387466512383655,0.15632473468780517,69459460,6,"[1, 0, 0, 1, 1, 1]"
0,9,0.13466555189034599,0.5349244826741693,0.16878838062286378,69459460,6,"[1, 0, 0, 0, 0, 0]"
0,10,0.125254280924501,0.5156603484543357,0.16851215171813966,69459460,7,"[0, 0, 0, 0, 1, 0, 0]"
0,11,0.12408790913428391,0.5044847606652644,0.15800575447082518,69459460,6,"[1, 0, 0, 1, 1, 1]"
0,12,0.122600063042037,0.5136263030627127,0.17263161611557007,69459460,7,"[0, 0, 0, 1, 0, 1, 1]"
0,13,0.11525487009904326,0.49321199977410884,0.1667384810447693,69459460,6,"[0, 1, 0, 1, 0, 1]"
0,14,0.11434289427710059,0.4596232271700585,0.12615869998931883,69459460,5,"[0, 0, 1, 0, 1]"
0,15,0.11043753977096248,0.49048913307820025,0.1763785877227783,69459460,7,"[1, 1, 1, 1, 1, 1, 1]"
0,16,0.09692850634063996,0.46711815692569153,0.18638779258728028,69459460,7,"[0, 0, 0, 0, 1, 0, 0]"
0,17,0.0964095790623748,0.446818189513499,0.16093614149093627,69459460,6,"[0, 1, 0, 0, 1, 1]"
0,18,0.046712443049180014,0.3067001173038766,0.15241058206558228,69459460,6,"[1, 0, 1, 0, 0, 1]"
0,19,0.04375970786092818,0.3844808095858612,0.3101158332824707,69459460,12,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]"
